number, region_area, filename
16, 35160.53, 10088_1.1_control_bw.png
61, 9957.67, 10088_1.3_control_bw.png
199, 3388.12, 10088_1.5_control_bw.png
667, 906.09, 10088_1.7_control_bw.png
1200, 541.97, 10088_1.9_control_bw.png
24, 22061.69, 10186_1.1_control_bw.png
73, 8031.55, 10186_1.3_control_bw.png
235, 2405.24, 10186_1.5_control_bw.png
683, 851.43, 10186_1.7_control_bw.png
1341, 455.36, 10186_1.9_control_bw.png
20, 28341.58, 10457_1.1_control_bw.png
68, 8573.59, 10457_1.3_control_bw.png
222, 2722.97, 10457_1.5_control_bw.png
658, 914.9, 10457_1.7_control_bw.png
1314, 484.06, 10457_1.9_control_bw.png
15, 36845.2, 10503_1.1_control_bw.png
40, 15352.41, 10503_1.3_control_bw.png
163, 3673.57, 10503_1.5_control_bw.png
531, 1092.97, 10503_1.7_control_bw.png
1324, 434.27, 10503_1.9_control_bw.png
22, 24720.39, 10744_1.1_control_bw.png
76, 7834.63, 10744_1.3_control_bw.png
191, 3404.13, 10744_1.5_control_bw.png
638, 961.94, 10744_1.7_control_bw.png
1365, 439.86, 10744_1.9_control_bw.png
23, 23517.37, 10942_1.1_control_bw.png
83, 6708.95, 10942_1.3_control_bw.png
237, 2542.51, 10942_1.5_control_bw.png
677, 865.79, 10942_1.7_control_bw.png
1364, 434.45, 10942_1.9_control_bw.png
13, 43387.12, 11023_1.1_control_bw.png
48, 12519.57, 11023_1.3_control_bw.png
140, 4447.63, 11023_1.5_control_bw.png
490, 1172.51, 11023_1.7_control_bw.png
1234, 467.22, 11023_1.9_control_bw.png
20, 31124.22, 11060_1.1_control_bw.png
72, 8227.53, 11060_1.3_control_bw.png
227, 2546.88, 11060_1.5_control_bw.png
579, 1088.56, 11060_1.7_control_bw.png
1385, 433.69, 11060_1.9_control_bw.png
17, 33558.91, 11128_1.1_control_bw.png
66, 8864.01, 11128_1.3_control_bw.png
207, 2744.28, 11128_1.5_control_bw.png
568, 1115.27, 11128_1.7_control_bw.png
1321, 451.61, 11128_1.9_control_bw.png
20, 27800.9, 11213_1.1_control_bw.png
68, 8377.81, 11213_1.3_control_bw.png
206, 2786.34, 11213_1.5_control_bw.png
602, 963.35, 11213_1.7_control_bw.png
1291, 472.9, 11213_1.9_control_bw.png
19, 29542.24, 11218_1.1_control_bw.png
71, 7723.51, 11218_1.3_control_bw.png
245, 2370.33, 11218_1.5_control_bw.png
575, 1169.42, 11218_1.7_control_bw.png
1188, 537.37, 11218_1.9_control_bw.png
14, 37587.0, 11267_1.1_control_bw.png
53, 10835.27, 11267_1.3_control_bw.png
170, 3665.72, 11267_1.5_control_bw.png
500, 1361.1, 11267_1.7_control_bw.png
1282, 484.5, 11267_1.9_control_bw.png
17, 32106.38, 11426_1.1_control_bw.png
91, 6227.99, 11426_1.3_control_bw.png
221, 2850.45, 11426_1.5_control_bw.png
479, 1566.4, 11426_1.7_control_bw.png
1187, 545.83, 11426_1.9_control_bw.png
8, 45765.5, 11443_1.1_control_bw.png
32, 12209.13, 11443_1.3_control_bw.png
105, 3408.26, 11443_1.5_control_bw.png
253, 1392.18, 11443_1.7_control_bw.png
566, 608.8, 11443_1.9_control_bw.png
17, 32436.59, 11635_1.1_control_bw.png
64, 12017.21, 11635_1.3_control_bw.png
253, 2483.22, 11635_1.5_control_bw.png
715, 843.44, 11635_1.7_control_bw.png
1399, 403.45, 11635_1.9_control_bw.png
31, 17366.94, 11690_1.1_control_bw.png
103, 5668.93, 11690_1.3_control_bw.png
286, 2028.0, 11690_1.5_control_bw.png
742, 839.28, 11690_1.7_control_bw.png
1341, 443.58, 11690_1.9_control_bw.png
23, 30898.66, 11829_1.1_control_bw.png
133, 4127.29, 11829_1.3_control_bw.png
340, 1797.57, 11829_1.5_control_bw.png
822, 700.0, 11829_1.7_control_bw.png
1338, 452.04, 11829_1.9_control_bw.png
13, 39869.62, 11868_1.1_control_bw.png
58, 9376.79, 11868_1.3_control_bw.png
191, 2999.22, 11868_1.5_control_bw.png
521, 1234.6, 11868_1.7_control_bw.png
1298, 477.07, 11868_1.9_control_bw.png
9, 57432.56, 11870_1.1_control_bw.png
44, 12623.51, 11870_1.3_control_bw.png
163, 3581.2, 11870_1.5_control_bw.png
528, 1123.64, 11870_1.7_control_bw.png
1265, 501.1, 11870_1.9_control_bw.png
18, 31753.17, 11974_1.1_control_bw.png
91, 6341.49, 11974_1.3_control_bw.png
289, 2024.59, 11974_1.5_control_bw.png
766, 797.41, 11974_1.7_control_bw.png
1325, 473.36, 11974_1.9_control_bw.png
37, 14732.39, 12228_1.1_control_bw.png
119, 4971.9, 12228_1.3_control_bw.png
325, 1842.8, 12228_1.5_control_bw.png
779, 776.64, 12228_1.7_control_bw.png
1247, 499.75, 12228_1.9_control_bw.png
14, 38306.57, 1291_1.1_control_bw.png
64, 8655.66, 1291_1.3_control_bw.png
209, 2763.54, 1291_1.5_control_bw.png
516, 1280.0, 1291_1.7_control_bw.png
1368, 424.16, 1291_1.9_control_bw.png
23, 23692.14, 1419_1.1_control_bw.png
85, 6684.66, 1419_1.3_control_bw.png
241, 2274.96, 1419_1.5_control_bw.png
651, 898.76, 1419_1.7_control_bw.png
1473, 382.07, 1419_1.9_control_bw.png
21, 26489.07, 1429_1.1_control_bw.png
66, 10178.43, 1429_1.3_control_bw.png
257, 2434.21, 1429_1.5_control_bw.png
604, 1064.26, 1429_1.7_control_bw.png
1259, 472.57, 1429_1.9_control_bw.png
16, 33330.28, 1655_1.1_control_bw.png
56, 10937.2, 1655_1.3_control_bw.png
220, 2592.6, 1655_1.5_control_bw.png
600, 1092.18, 1655_1.7_control_bw.png
1033, 685.2, 1655_1.9_control_bw.png
21, 27910.18, 1951_1.1_control_bw.png
76, 7371.65, 1951_1.3_control_bw.png
252, 2255.14, 1951_1.5_control_bw.png
711, 832.57, 1951_1.7_control_bw.png
1406, 428.81, 1951_1.9_control_bw.png
14, 37898.39, 2165_1.1_control_bw.png
52, 10625.4, 2165_1.3_control_bw.png
178, 3206.44, 2165_1.5_control_bw.png
605, 1009.34, 2165_1.7_control_bw.png
1310, 455.46, 2165_1.9_control_bw.png
10, 54520.55, 2204_1.1_control_bw.png
35, 18156.01, 2204_1.3_control_bw.png
135, 4439.41, 2204_1.5_control_bw.png
566, 1040.56, 2204_1.7_control_bw.png
1260, 492.31, 2204_1.9_control_bw.png
20, 32054.63, 225_1.1_control_bw.png
75, 7554.95, 225_1.3_control_bw.png
251, 2312.48, 225_1.5_control_bw.png
600, 945.75, 225_1.7_control_bw.png
1278, 445.97, 225_1.9_control_bw.png
15, 36155.97, 2291_1.1_control_bw.png
42, 13946.87, 2291_1.3_control_bw.png
148, 4067.72, 2291_1.5_control_bw.png
454, 1430.31, 2291_1.7_control_bw.png
